@relation mqp_features

@attribute dt numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute gx numeric
@attribute gy numeric
@attribute gz numeric
@attribute rx numeric
@attribute ry numeric
@attribute rz numeric
@attribute rw numeric

@data
1475604592336,1.017883,-0.022753,-1.106499,-0.008522,-0.002131,0.001065,?,?,?,?
1475604592347.000064,0.973575,0.003593,-1.131647,-0.006392,0,0.001065,?,?,?,?
1475604592356.999936,1.058599,0,-1.134042,-0.002131,0.002131,-0.006392,?,?,?,?
1475604592473.999872,1.034648,0.189207,-1.081351,0,0.010653,-0.004261,?,?,?,?
1475604592491.000064,1.039438,0.089813,-0.986748,-0.011718,0.008522,-0.004261,?,?,?,?
1475604592539.000064,0.855022,0.073048,-1.016686,-0.003196,0.008522,-0.005326,?,?,?,?
1475604592552.999936,0.983155,0.081431,-0.92328,0.013848,0.006392,-0.001065,?,?,?,?
1475604592588,1.022673,0.083826,-1.101709,0.005326,-0.001065,-0.001065,?,?,?,?
1475604592624,0.996328,0.062271,-1.039438,0.001065,-0.001065,-0.003196,?,?,?,?
1475604592654.000128,0.983155,0.091011,-1.039438,-0.002131,-0.001065,-0.003196,?,?,?,?
1475604592680.999936,1.047821,0.099393,-0.998723,-0.021305,-0.002131,-0.004261,?,?,?,?
1475604592684.999936,1.034648,0.092208,-1.112487,-0.021305,-0.008522,-0.002131,?,?,?,?
1475604592742.000128,1.021476,0.083826,-1.026266,-0.024501,-0.008522,-0.004261,?,?,?,?
1475604592774.000128,1.058599,0.020358,-1.032253,-0.02024,-0.008522,0.001065,?,?,?,?
1475604592896,1.009501,0.025148,-1.150807,-0.012783,-0.005326,-0.003196,?,?,?,?
1475604592900,1.009501,0.044308,-0.969983,-0.015979,-0.003196,-0.005326,?,?,?,?
1475604592915.000064,1.044229,0.117356,-0.914897,-0.005326,-0.003196,-0.002131,?,?,?,?
1475604592976,1.080154,0.020358,-0.990341,-0.001065,-0.011718,0,?,?,?,?
1475604593004.999936,0.892145,0.089813,-1.046624,-0.026632,-0.010653,0,?,?,?,?
1475604593039.000064,0.996328,0.055085,-1.082549,-0.026632,-0.008522,-0.003196,?,?,?,?
